,city,state,artist,song
0,Alabama,Alabama,Lynyrd Skynyrd,Sweet Home Alabama
1,Alabama,Alabama,Grateful Dead,Alabama Getaway
2,Alabama,Alabama,Kid Rock,All Summer Long
3,Alabama,Alabama,Stone Temple Pilots,Art School Girl
4,Alabama,Alabama,Kid Rock,All Summer Long
5,Alabama,Alabama,Jerry Reed,Big Daddy
6,Alabama,Alabama,The Louvin Brothers,Alabama
7,Alabama,Alabama,Neil Young,Oh Susannah
8,Alabama,Alabama,Neil Young,Alabama
9,Alabama,Alabama,"Neil Young, Stray Gators",Alabama
10,Alabama,Alabama,Garth Brooks,Sweet Home Alabama
11,Alabama,Alabama,The Dead South,Alabama People
12,Alabama,Alabama,Dalida,Alabama Song
13,Alabama,Alabama,J.B. Lenoir,Alabama Blues
14,Alabama,Alabama,Lynyrd Skynyrd,Sweet Home Alabama
15,Alabama,Alabama,Alabama,Old Alabama
16,Alabama,Alabama,Alabama,Old Alabama
17,Alabama,Alabama,Lynyrd Skynyrd,Sweet Home Alabama
18,Alabama,Alabama,Drive-By Truckers,The Three Great Alabama Icons
19,Alabama,Alabama,Nina Simone,Mississippi Goddam
20,Alabama,Alabama,Lynyrd Skynyrd,Mississippi Kid
21,Alabama,Alabama,Jewel,Sweet Home Alabama
22,Alabama,Alabama,Nina Simone,Mississippi Goddam [Live]
23,Alabama,Alabama,Nina Simone,"Mississippi Goddam [1964 Live in New York, Stereo; Live]"
24,Alabama,Alabama,Nina Simone,Mississippi Goddam
25,Alabama,Alabama,Nina Simone,Mississippi Goddam
26,Alabama,Alabama,Nina Simone,Mississippi Goddam
27,Alabama,Alabama,Jewel,Sweet Home Alabama
28,Alabama,Alabama,Lynyrd Skynyrd,Mississippi Kid
29,Alabama,Alabama,The Outlaws,Sweet Home Alabama
30,Alabama,Alabama,Kid Rock,All Summer Long
31,Alabama,Alabama,Charlie Louvin,Alabama
32,Alabama,Alabama,David Bowie,Alabama Song
33,Alabama,Alabama,David Bowie,Alabama Song
34,Alabama,Alabama,Nina Simone,Mississippi Goddam [DVD]
35,Alabama,Alabama,The Byrds,Oh! Susannah
36,Alabama,Alabama,Taj Mahal,Oh Susanna
37,Alabama,Alabama,Alabama,Alabama Sky
38,Alabama,Alabama,Rock Heroes,All Summer Long
39,Alabama,Alabama,Will Kimbrough,Alabama (For Michael Donald)
40,Alabama,Alabama,Antoine Rocks,Art School Girl
41,Alabama,Alabama,"Hank Williams, Jr.",Sweet Home Alabama
42,Alabama,Alabama,Charlie Daniels,Sweet Home Alabama
43,Alabama,Alabama,Alabama,My Home's In Alabama
44,Alabama,Alabama,Lynyrd Skynyrd,Whiskey Rock and Roller
45,Alabama,Alabama,Alt-J,Leaving Nara/Lovely Day [Bonus Track]
46,Alabama,Alabama,Johnny Hallyday,Cartes Postales d'Alabama (Sweet Home Alabama)
47,Alabama,Alabama,The Outlaws,Sweet Home Alabama
48,Alabama,Alabama,The Byrds,"Oh, Susannah"
49,Alabama,Alabama,Kid Rock,All Summer Long [Radio Edit]
50,Alabama,Alabama,Kenny Price,Big Daddy
51,Alabama,Alabama,Dave Van Ronk,Alabama Song
52,Alabama,Alabama,Nina Simone,Moon Over Alabama
53,Alabama,Alabama,Alt-J,Leaving Nara
54,Alabama,Alabama,Frank Sinatra,Stars Fell on Alabama
